Year,Adult density,Adult+kitten density,Wolves,Elk density,Elk on,Elk off
2001,,,10,15200,6128,9072
2002,5.8,15.7,15,14956,6366,8590
2003,5.7,13,19,13457,6992,6465
2004,8.9,15.9,15,13730,5876,7854
2005,7.3,15.7,16,12610,4969,7641
2006,4.7,12,30,12855,6730,6125
2007,2.5,6.6,58,12777,7279,5498
2008,4.8,8.4,81,12550,7947,4603
2009,3.6,5,74,12550,7269,5281
2010,2.6,3.1,91,11691,4348,7343
2011,4.2,10.8,85,11978,7746,4232
2012,4.3,8.5,83,11982,7360,4622
2013,3.9,8.3,79,11200,6285,4915
2014,3.2,8.4,59,11600,8296,3304
2015,3,5.1,67,11000,8390,2610
2016,3.2,7,73,11200,7290,3910
